major_name,type_edu,major_code,criteria,priority_case,capacity_case
kỹ thuật máy tính,đại học chính quy đại trà,107,100,83.5,898
khoa học máy tính,đại học chính quy đại trà,106,240,84.6,927
kỹ thuật điều khiển và tự động hóa,đại học chính quy đại trà,108,670,68.4,736
kỹ thuật điện tử viễn thông,đại học chính quy đại trà,108,670,68.4,736
kỹ thuật điện,đại học chính quy đại trà,108,670,68.4,736
kỹ thuật cơ khí,đại học chính quy đại trà,109,300,72.5,700
kỹ thuật cơ điện tử,đại học chính quy đại trà,110,105,79.4,849
kỹ thuật dệt,đại học chính quy đại trà,112,90,78.8,702
công nghệ may,đại học chính quy đại trà,112,90,78.8,702
công nghệ thực phẩm,đại học chính quy đại trà,114,320,82.7,853
công nghệ sinh học,đại học chính quy đại trà,114,320,82.7,853
kỹ thuật hóa học,đại học chính quy đại trà,114,320,82.7,853
kỹ thuật công trình xây dựng,đại học chính quy đại trà,115,645,70.6,700
kỹ thuật xây dựng công trình thủy,đại học chính quy đại trà,115,645,70.6,700
kỹ thuật xây dựng công trình giao thông,đại học chính quy đại trà,115,645,70.6,700
kỹ thuật xây dựng công trình cảng biển,đại học chính quy đại trà,115,645,70.6,700
công nghệ kỹ thuật vật liệu xây dựng,đại học chính quy đại trà,115,645,70.6,700
kỹ thuật trắc địa bản đồ,đại học chính quy đại trà,115,645,70.6,700
kỹ thuật xây dựng cơ sở hạ tầng,đại học chính quy đại trà,115,645,70.6,700
kiến trúc,đại học chính quy đại trà,117,75,71.4,762
kỹ thuật dầu khí,đại học chính quy đại trà,120,130,66.8,704
quản lý công nghiệp,đại học chính quy đại trà,123,120,79.3,820
kỹ thuật địa chất,đại học chính quy đại trà,120,130,66.8,704
kỹ thuật môi trường,đại học chính quy đại trà,125,120,72.0,702
quản lý tài nguyên môi trường,đại học chính quy đại trà,125,120,72.0,702
kỹ thuật hệ thống công nghiệp,đại học chính quy đại trà,128,90,82.0,906
logistics và quản lý chuỗi cung ứng,đại học chính quy đại trà,128,90,82.0,906
kỹ thuật vật liệu,đại học chính quy đại trà,129,220,75.1,700
vật lý kỹ thuật,đại học chính quy đại trà,137,50,71.2,702
cơ kỹ thuật,đại học chính quy đại trà,138,50,74.1,703
công nghệ kỹ thuật ô tô,đại học chính quy đại trà,142,90,79.3,837
bảo dưỡng công nghiệp,đại học chính quy đại trà,141,165,76.5,700
kỹ thuật tàu thủy,đại học chính quy đại trà,145,60,79.5,802
kỹ thuật nhiệt,đại học chính quy đại trà,140,80,73.0,715
kỹ thuật hàng không,đại học chính quy đại trà,145,60,79.5,802
khoa học máy tính,chương trình chất lượng cao tiên tiến,206,100,84.5,926
kỹ thuật máy tính,chương trình chất lượng cao tiên tiến,207,55,82.4,855
kỹ thuật cơ khí,chương trình chất lượng cao tiên tiến,209,50,74.9,711
kỹ thuật cơ điện tử,chương trình chất lượng cao tiên tiến,210,50,81.6,726
kỹ thuật hóa học,chương trình chất lượng cao tiên tiến,214,200,79.3,743
kỹ thuật điện,chương trình chất lượng cao tiên tiến,208,150,72.1,703
kỹ thuật công trình xây dựng,chương trình chất lượng cao tiên tiến,215,80,76.9,703
công nghệ thực phẩm,chương trình chất lượng cao tiên tiến,219,40,79.9,790
kỹ thuật dầu khí,chương trình chất lượng cao tiên tiến,220,50,79.0,727
quản lý công nghiệp,chương trình chất lượng cao tiên tiến,223,90,67.6,707
quản lý tài nguyên môi trường,chương trình chất lượng cao tiên tiến,225,60,71.1,736
vật lý kỹ thuật,chương trình chất lượng cao tiên tiến,237,45,68.0,704
logistics và quản lý chuỗi cung ứng,chương trình chất lượng cao tiên tiến,228,40,81.8,897
kỹ thuật hàng không,chương trình chất lượng cao tiên tiến,245,40,77.3,797
công nghệ kỹ thuật ô tô,chương trình chất lượng cao tiên tiến,242,50,71.9,751
khoa học máy tính,chương trình chất lượng cao tiên tiến,266,40,79.6,791
bảo dưỡng công nghiệp,phân hiệu bến tre,441,0,0,700
kỹ thuật cơ điện tử,đại học chính quy đại trà,109,300,72.5,700
kỹ thuật trắc địa bản đồ,đại học chính quy đại trà,130,645,70.6,700
công nghệ kỹ thuật vật liệu xây dựng,đại học chính quy đại trà,131,645,70.6,700
công nghệ thực phẩm,phân hiệu bến tre,419,0,0,0
kỹ thuật công trình xây dựng,phân hiệu bến tre,445,0,0,0
kỹ thuật xây dựng công trình giao thông,phân hiệu bến tre,446,0,0,0
kỹ thuật điện,phân hiệu bến tre,448,0,0,0
