label,content
0,anh chị cho em hỏi với ạ 3 tháng nữa là em thi tốt nghiệp em đang phân vân giữa học quản trị kinh doanh và công nghệ thông tin
0,anh chị ơi cho em hỏi giữa ngành du lịch với ngành quản trị du lịch lữ lành có điểm gì khác nhau ạ
0,anh chị ơi cho em xin hỏi ngành quản trị kinh doanh và kinh doanh quốc tế nó khác những gì ạ
0,cho em xin ít thông tin về ngành công tác xã hội ạ
0,cho em xin ý kiến về ngành marketing đi ạ
0,chào mọi người em sinh năm 2004 đang có định hướng ở ngành quản lý nhà nước và quản trị kinh doanh ạ mong anh chị đi trước có kinh nghiệm tư vấn và chỉ dẫn cho em với ạ em chân thành cảm ơn
0,các anh chị cho em xin nhận xét về các ngành này với ạ kinh tế quản trị kinh doanh tổng hợp quan hệ quốc tế em cảm ơn ạ
0,các anh chị ơi cho em hỏi ngành kinh doanh quốc tế và ngành kinh tế đối ngoại khác nhau như thế nào ạ cảm ơn mọi người nhiều ạ
0,dạ em đang phân vân giữa việc lựa chọn ngành ngôn ngữ anh và ngôn ngữ pháp ạ
1,dạ hiện em đang tìm hiểu ngành kỹ thuật hoá học ở đây có anh chị nào đã ra trường ngành này có thể cho em biết là ngành này sẽ làm những việc gì không ạ
1,em chào mọi người ạ em rất đam mê môn toán và muốn học sư phạm toán để làm giáo viên phổ thông vậy cho em hỏi giáo viên có ổn không ạ
0,em chào các cô chú anh chị ạ em muốn thi vào ngành thiết kế thời trang em cũng đã tham khảo nhưng muốn xin kinh nghiệm đã ạ
0,em chào mọi người ạ em học khối d em đang phân vân giữa 3 ngành ngôn ngữ anh quản trị nhân lực và logistic
0,em chào mọi người ạ hiện em đã chọn được mình học kinh tế và phân vân 3 ngành tài chính ngân hàng kế toán quản trị kinh doanh
1,em dự định học cao đẳng lập trình máy tính hướng này có ổn không ạ
0,em sinh năm em đang phân vân giữa quản trị khách sạn với quản trị du lịch và lữ hành và ở khu vực phía bắc mọi người cho em xin ít kinh nghiệm và ý kiến với ạ em cám ơn
0,em đang chuẩn bị hướng nghiệp cho bản thân em định theo marketing hoặc quản trị kinh doanh có thể tư vấn cho em được không ạ
0,em đang có dự định muốn vào ngành ngôn ngữ nhật trường đại học ngoại ngữ đại học quốc gia hà nội anh chị có thể tư vấn giúp em về ngành đó không ạ
0,em đang có ý định học cao đẳng tiếng hàn thương mại anh chị cho em xin ý kiến về ngành này ạ
0,em đang phân vân không biết nên chọn học quản trị khách sạn marketing hay hàn quốc học đây ạ 3 ngành em đều thích
0,em đang phân vân ngành công nghệ thông tin với ngành kế đồ hoạ ngành thiết kế đồ hoạ có nhất thiết mình phải vẽ thật đẹp không ạ
0,mong mọi người phân tích về ưu nhược điểm ở mọi mặt của ngành quản trị kinh doanh so với ngành kế toán doanh nghiệp ạ
0,mọi người ai học ngành kinh doanh quốc tế rồi cho em xin ít ý kiến ạ em cảm ơn nhiều ạ
0,mọi người ai học ngành logistics và quản lý chuỗi cung ứng rồi cho em xin ít ý kiến
0,mọi người ai học ngành thương mại điện tử rồi cho em xin tí ý kiến ạ
0,mọi người anh chị cho em hỏi có nên học ngành công nghệ thông tin không ạ em cảm ơn mong mọi người tư vấn giúp em
1,mọi người cho em hỏi học địa lý học bên địa lý du lịch thì ra làm gì ạ
